Second,microtesla
66.1,31.284958
66.2,31.284958
66.3,30.901907
66.4,30.901907
66.5,30.901907
66.6,30.356964
66.7,30.356964
66.8,30.356964
66.9,30.34363
67.0,30.34363
67.1,30.34363
67.2,30.525002
67.3,30.525002
67.4,30.525002
67.5,30.969444
67.6,30.969444
67.7,30.969444
67.8,30.848036
67.9,30.848036
68.0,30.848036
68.1,30.65939
68.2,30.65939
68.3,30.65939
68.4,30.79888
68.5,30.79888
68.6,30.79888
68.7,30.61818
68.8,30.61818
68.9,30.61818
69.0,30.746798
69.1,30.746798
69.2,30.746798
69.3,30.582335
69.4,30.582335
69.5,30.582335
69.6,30.497272
69.7,30.497272
69.8,30.497272
69.9,30.769957
70.0,30.769957
70.1,30.769957
70.2,30.649984
70.3,30.649984
70.4,30.649984
70.5,30.149122
70.6,30.149122
70.7,30.149122
70.8,29.83102
70.9,29.83102
71.0,29.83102
71.1,29.489965
71.2,29.489965
71.3,29.489965
71.4,29.313982
71.5,29.313982
71.6,29.313982
71.7,27.99475
71.8,27.99475
71.9,27.99475
72.0,27.562233
72.1,27.562233
72.2,27.562233
72.3,26.982363
72.4,26.982363
72.5,26.982363
72.6,26.6725
72.7,26.6725
72.8,26.6725
72.9,26.387465
73.0,26.387465
73.1,26.387465
73.2,26.71108
73.3,26.71108
73.4,26.71108
73.5,26.958597
73.6,26.958597
73.7,26.958597
73.8,26.698036
73.9,26.698036
74.0,26.698036
74.1,26.502956
74.2,26.502956
74.3,26.502956
74.4,26.58371
74.5,26.58371
74.6,26.58371
74.7,26.549618
74.8,26.549618
74.9,26.549618
75.0,26.302467
75.1,26.302467
75.2,26.302467
75.3,25.972223
75.4,25.972223
75.5,25.972223
75.6,26.063887
75.7,26.063887
75.8,26.063887
75.9,25.521782
76.0,25.521782
76.1,25.521782
76.2,25.341368
76.3,25.341368
76.4,25.341368
76.5,25.731934
76.6,25.731934
76.7,25.731934
76.8,25.81325
76.9,25.81325
77.0,25.81325
77.1,26.384253
77.2,26.384253
77.3,26.384253
77.4,26.428127
77.5,26.428127
77.6,26.428127
77.7,26.466452
77.8,26.466452
77.9,26.466452
78.0,26.436956
78.1,26.436956
78.2,26.436956
78.3,27.04379
78.4,27.04379
78.5,27.04379
78.6,27.557922
78.7,27.431837
78.8,27.431837
78.9,26.765972
79.0,26.765972
79.1,26.765972
79.2,26.882662
79.3,26.882662
79.4,26.882662
79.5,27.143576
79.6,27.143576
79.7,27.143576
79.8,27.586424
79.9,27.586424
80.0,27.586424
80.1,27.651346
80.2,27.651346
80.3,27.651346
80.4,28.039375
80.5,28.039375
80.6,28.039375
80.7,28.114243
80.8,28.114243
80.9,28.114243
81.0,28.817392
81.1,28.817392
81.2,28.817392
81.3,29.091858
81.4,29.091858
81.5,29.091858
81.6,29.814564
81.7,29.814564
81.8,29.814564
81.9,29.796078
82.0,29.796078
82.1,29.796078
82.2,29.532106
82.3,29.532106
82.4,29.532106
82.5,28.927301
82.6,28.927301
82.7,28.927301
82.8,28.420399
82.9,28.420399
83.0,28.420399
83.1,28.778812
83.2,28.778812
83.3,28.778812
83.4,29.46046
83.5,29.46046
83.6,29.46046
83.7,29.452616
83.8,29.452616
83.9,29.452616
84.0,29.072088
84.1,29.072088
84.2,29.072088
84.3,29.728258
84.4,29.728258
84.5,29.728258
84.6,29.935299
84.7,29.935299
84.8,29.935299
84.9,29.954544
85.0,29.954544
85.1,29.954544
85.2,30.524555
85.3,30.524555
85.4,30.524555
85.5,30.621222
85.6,30.621222
85.7,30.621222
85.8,30.002567
85.9,30.002567
86.0,30.002567
86.1,29.706038
86.2,29.706038
86.3,29.706038
86.4,29.85784
86.5,29.85784
86.6,29.85784
86.7,29.892498
86.8,29.892498
86.9,29.892498
